Razão Social,Endereço,Município,UF,Licenciada (sim ou não),Latitude/Longitude,Canal/Frequência,Indicador
ASSOCIAÇÃO CULTURAL COMUNITÁRIA UNIÃO DE SÃO TIAGO (ACCU),RUA SÃO JOSÉ,São Tiago,MG,( S ),20S544000/44W302400,200 / 87.90,ZYL549
ASSOCIAÇÃO COMUNITÁRIA E EDUCATIVA DE SANTO TOMÁS DE AQUINO,RUA ALVES DE FIGUEIREDO,São Tomás de Aquino,MG,( S ),20S464100/47W055700,290 / 105.90,ZYX517
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO DA CIDADE DE SÃO VICENTE DE MINAS,AVENIDA MINAS GERAIS,São Vicente de Minas,MG,( S ),21S424600/44W263800,200 / 87.90,ZYT595
ASSOCIAÇÃO COMUNITÁRIA EDUCATIVA DE RADIODIFUSÃO DE SAPUCAÍ MIRIM,RUA LÍRIO,Sapucaí-Mirim,MG,( S ),22S450800/45W443400,254 / 98.70,ZYX303
"ASSOCIAÇÃO SARDOAENSE - COMUNITÁRIA, SOCIAL E CULTURAL SANTO ANTÔNIO",RUA PROFESSORA MARIA NASCENTE,Sardoá,MG,,18S470100/42W215100,285 / 104.90,ZYX410
ASSOCIAÇÃO DOS RADIALISTAS DE SARZEDO,RUA GERALDO NASSIF SALOMÃO,Sarzedo,MG,( S ),20S021000/44W083900,200 / 87.90,ZYX586
ASSOCIAÇÃO AMBIENTAL SÃO SEBASTIÃO DOS CAMPOS,RUA DIOGO JOSÉ DE ALMEIDA,Senador Amaral,MG,( S ),22S350500/46W102400,285 / 104.90,ZYX568
ASSOCIACAO CULTURAL E BENEFICENTE CRISTOVAM CHIARADIA,"RUA DEPUTADO DE OLIVEIRA E SILVA, NÌ 202",Senador Cortes,MG,,21S475800/42W564500,285 / 104.90,ZYL654
ASSOCIAÇÃO COMUNITÁRIA FIRMINENSE DE RADIODIFUSÃO,PARQUE DE EXPOSICOES,Senador Firmino,MG,( S ),20S545600/43W061100,200 / 87.90,ZYC901
ASSOCIAÇÃO COMUNITÁRIA SENADORENSE,PRAÇA SÃO SEBASTIÃO,Senador José Bento,MG,,22S095200/46W104300,254 / 98.70,ZYX597
ASSOCIAÇÃO COMUNITÁRIA DA COMUNIDADE DE ARANHAS,LOC DE ARANHAS,Senhora de Oliveira,MG,( S ),20S474600/43W211300,200 / 87.90,ZYX528
ARCC ASSOCIACAO REMEDIENSE COMUNITARIA DE COMUNICACAO,"PRACA NOSSA SENHORA DOS REMEDIOS, 52",Senhora dos Remédios,MG,( S ),21S014100/43W345700,254 / 98.70,ZYL529
ASSOCIACAO COMUNITARIA SANTA RITA DE RADIODIFUSAO,,Sericita,MG,( N ),,200 / 87.90,
ASSOCIACAO DE APOIO E ASSIST. A JUVENTUDE SERICITENSE - AJUS,"AVENIDA SEBASTIAO GOMES DOS REIS, S/N",Sericita,MG,,20S284200/42W285500,200 / 87.90,ZYT454
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO DA CIDADE DE SERITINGA - MG,RUA SAO JOSE,Seritinga,MG,( S ),21S543400/44W305400,200 / 87.90,ZYX554
ASSOCIACAO CULT.DE COMUNIC. BENEFICENT.COMUNIT. INTERATIVA,"RUA E, NÊ52",Serra do Salitre,MG,( S ),19S062300/46W404200,285 / 104.90,ZYT410
ASSOCIAÇÃO RECREATIVA DA MELHOR IDADE - ARMI,RUA RIO TOCANTINS,Serra dos Aimorés,MG,,17S453800/40W144400,285 / 104.90,ZYX582
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO PARA O DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE SERRANIA,"RUA CORONEL ANTONIO FAUSTINO, 1305",Serrania,MG,( S ),21S325400/46W022200,200 / 87.90,ZYL652
ASSOCIAÇÃO COMUNITÁRIA SERRANENSE DE RADIODIFUSÃO,,Serranos,MG,( N ),,200 / 87.90,
AMAS - ASSOCIAÇÃO DOS MORADORES E AMIGOS DO SERRO,RUA ESTRADA DA MUMBUCA,Serro,MG,,18S344400/43W200100,285 / 104.90,ZYX572
ASSOCIAÇÃO COMUNITÁRIA SERRANA DE RADIODIFUSÃO,AVENIDA DA SAUDADE,Serro,MG,( S ),18S362000/43W224200,285 / 104.90,ZYT493
ASSOCIACAO COMUNITARIA DE ASSISTENCIA SOCIAL HUMANISTA E SOLIDARIA - ACOLHER,,Sete Lagoas,MG,( N ),,200 / 87.90,
ASSOCIACAO COMUNITARIA E CULTURAL DE RADIODIFUSAO - ACCRADI,,Sete Lagoas,MG,( N ),,200 / 87.90,
ASEARC-ASSOCIAÇÃO SETE-LAGOANA DE ENTIDADES ASSISTENCIAIS E RÁDIO COMUNITÁRIA,RUA  SANTANA,Sete Lagoas,MG,( S ),19S272900/44W141600,200 / 87.90,ZYC895
ASSOCIACAO DE ASSIST.COM.E ENSINO PROFISSION.DE SETE LAGOAS,RUA JOAO BENTO MIRANDA,Sete Lagoas,MG,( S ),19S244500/44W145700,200 / 87.90,ZYL555
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO AMOR,RUA JOAQUIM MENDES MAGALHÃES,Silvianópolis,MG,( S ),22S014300/45W501100,285 / 104.90,ZYX402
ASSOCIACAO COMUNITARIA DE COMUNIC. E CULT.DE SIMONESIA/MG,"RUA PADRE MIGUEL, 305",Simonésia,MG,( S ),20S072700/42W000600,285 / 104.90,ZYL635
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE SOBRÁLIA,RUA FRANCISCO PEREIRA NEVES,Sobrália,MG,( S ),19S135800/42W055200,285 / 104.90,ZYX411
ASSOCIAÇÃO COMUNITÁRIA SOLEDADENSE,RUA PADRE LAPUERTA,Soledade de Minas,MG,( S ),22S033600/45W022700,254 / 98.70,ZYL633
"ASSOCIAÇÃO DOS APOSENTADOS, PENSIONISTAS, DEFICIENTES FÍSICOS E IDOSOS DO MUNICIPIO DE TAIOBEIRAS",AVENIDA DO CONTORNO,Taiobeiras,MG,,15S480000/42W135600,200 / 87.90,ZYX591
ASSOCIACAO TAPIRENSE DE ASSISTENCIA SOCIAL - ATAS,"RUA CLODOMIRO DE AQUINO, 19",Tapira,MG,( S ),19S553900/46W493200,200 / 87.90,ZYL562
ASSOCIAÇÃO DE COMUNICAÇÃO E CULTURA DE TAQUARAÇU DE MINAS - ACCTM,RUA FRANCISCO FERRAZ,Taquaraçu de Minas,MG,( S ),19S394900/43W412800,200 / 87.90,ZYX438
ASSOCIACAO COMUNITARIA TARUMIRINENSE DE RADIODIFUSAO,RUA DR. JAEDER ALBERGARIA,Tarumirim,MG,( S ),19S165300/42W002200,285 / 104.90,ZYT491
ASSOCIACAO BENEFICENTE TEIXEIRENSE,PRACA ARTHUR BERNARDES; 201,Teixeiras,MG,( S ),20S390700/42W512300,200 / 87.90,ZYL603
INPACTO - INSTITUTO DE PROMOÇÃO ARTÍSTICO - CULTURAL DE TEÓFILO OTONI,RUA AMADEU ONOFRE,Teófilo Otoni,MG,,17S524100/41W300200,200 / 87.90,ZYX487
ASSOCIAÇÃO COMUNITÁRIA CULTURAL DE COMUNICAÇÃO DE TIMÓTEO,RUA CURITIBA,Timóteo,MG,( S ),19S345600/42W383300,254 / 98.70,ZYX520
ASSOCIAÇÃO CULTURAL E ARTÍSTICA DE RÁDIO LIVRE E JORNAL COMUNITÁRIO VITÓRIA DOS MORADORES DO BAIRRO CACHOEIRA DO VALE,RUA JOAO PEDREIRO,Timóteo,MG,( S ),19S321500/42W401800,254 / 98.70,ZYX497
ASSOCIAÇÃO DOS MORADORES DO BAIRRO DO PACU,RUA ANTÔNIO GABRIEL ROSA,Tiradentes,MG,( S ),21S070200/44W105200,285 / 104.90,ZYT596
ASSOCIAÇÃO BENEFICENTE CULTURAL COMUNITÁRIA DE TIROS (ABCCT),AVENIDA VICENTE BATISTA,Tiros,MG,,19S001300/45W573800,200 / 87.90,ZYT597
ASSOCIAÇÃO COMUNITÁRIA CULTURAL DE TOCANTINS,RUA VEREADOR JOÃO RODRIGUES DE SOUZA LIMA,Tocantins,MG,( S ),21S102300/43W013300,285 / 104.90,ZYL623
ASSOCIAÇÃO COMUNITÁRIA AMIGOS DE TOLEDO,RUA FRANCISCO BENTO,Toledo,MG,,22S443700/46W222000,285 / 104.90,ZYX580
ASSOCIAÇÃO RÁDIO COMUNITÁRIA TOMBOS SONORA,AVENIDA JUVENAL BATISTA,Tombos,MG,( S ),20S543000/42W014000,285 / 104.90,ZYX351
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO DA CIDADE DE TRÊS CORAÇÕES,RUA 06,Três Corações,MG,( S ),21S412600/45W154900,285 / 104.90,ZYT459
SOCIEDADE DE AÇÃO COMUNITÁRIA CANAÃ - SACC,RUA GUARARAPES,Três Marias,MG,( S ),18S131400/45W134800,200 / 87.90,ZYL593
ASSOCIAÇÃO COMUNITÁRIA CIDADE - CIDADE,RUA ONOFRA MORENO ANDRADE,Três Pontas,MG,( S ),21S213000/45W301700,200 / 87.90,ZYX443
FUNDAÇÃO CULTURAL E EDUCATIVA PADRE VICTOR,FAZENDA MATO VIRGEM,Três Pontas,MG,( S ),21S232400/45W284200,200 / 87.90,ZYX555
RÁDIO COMUNITÁRIA 97 FM,RUA CANUTO DE QUADROS,Turmalina,MG,,17S170700/42W433400,200 / 87.90,ZYX356
ASSOCIAÇÃO COMUNITÁRIA UBAPORANGUENSE DE RADIODIFUSÃO,RUA SEBASTIÃO PAULINO,Ubaporanga,MG,( S ),19S381500/42W060600,285 / 104.90,ZYL643
ASSOCIACAO AMERICA ARTISTICA E CULTURAL DE UBERABA,,Uberaba,MG,( N ),,200 / 87.90,
ASSOCIAÇÃO METROPOLITANA CULTURAL E ARTÍSTICA DOM ALOÍSIO ROQUE OPPERMAN,"ALAMEDA DONA LEOPOLDINA, 25",Uberaba,MG,( S ),19S444500/47W563500,200 / 87.90,ZYC879
ASSOCIAÇÃO  COMUNITÁRIA RESTAURAÇÃO E VIDA,RUA  LOURDES DE CARVALHO,Uberlândia,MG,( S ),18S554000/48W135100,285 / 104.90,ZYT482
"ASSOCIAÇÃO BENEFICENTE, CULTURAL E COMUNITÁRIA DO SÃO GABRIEL",RUA SANTA ALBERTINA,Uberlândia,MG,,18S575800/48W135600,285 / 104.90,ZYX400
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO DE UBERLÂNDIA,RUA JOSÉ FONSECA E SILVA,Uberlândia,MG,( S ),18S544200/48W192700,285 / 104.90,ZYL640
"ASSOCIAÇÃO COMUNITÁRIA, EDUCATIVA, CULTURAL, INFORMATIVA, ARTÍSTICA PLENITUDE DE UBERLÂNDIA",AVENIDA VASCONCELOS COSTA,Uberlândia,MG,,18S544300/48W163700,285 / 104.90,ZYX405
ASSOCIACAO DA RADIO COMUNITARIA DIMENSAO - ARCOD,"AVENIDA SILVIO RUGANI, 1465",Uberlândia,MG,( S ),18S562600/48W180300,285 / 104.90,ZYT460
ASSOCIAÇÃO DOS MORADORES DA REGIÃO DO ALÉM RIO,RUA SANTA BÁRBARA,Uberlândia,MG,( S ),18S574400/48W205800,285 / 104.90,ZYX495
ASSOCIAÇÃO COMUNITÁRIA DOS AMIGOS DE JESUS,AVENIDA 02 - QUADRA 09 - LOTE H - CASA 121,Unaí,MG,( S ),16S185800/46W540900,200 / 87.90,ZYX364
ASSOSSIACAO COMUNITARIA AMIGOS DE UNAI - ACAU,RUA ALBA GONZAGA,Unaí,MG,( S ),16S215700/46W535800,200 / 87.90,ZYT598
ASSOCIAÇÃO COMUNITÁRIA DE COMUNICAÇÃO DE UNIÃO DE MINAS,RUA DEZ,União de Minas,MG,( S ),19S314400/50W200600,200 / 87.90,ZYX366
ASSOCIAÇÃO COMUNITÁRIA DOS MORADORES DE URUANA DE MINAS,AVENIDA ARINOS,Uruana de Minas,MG,( S ),16S033900/46W152500,200 / 87.90,ZYX391
RÁDIO COMUNITÁRIA POPULAR FM,AVENIDA ARY SOARES MARTINS,Urucânia,MG,,20S212100/42W443700,200 / 87.90,ZYX437
ASSOCIAÇÃO COMUNITÁRIA DE RÁDIO VARGEM ALEGRE FM,RUA ANTÔNIO SILVÉRIO MENDES,Vargem Alegre,MG,( S ),19S355700/42W175500,254 / 98.70,ZYC878
ASSOCIACAO COMUNITARIA DE RADIODIFUSAO VARGINHENSE,"AVENIDA RUI BARBOSA, 230 - SALA 209",Varginha,MG,( S ),21S333700/45W260200,200 / 87.90,ZYL564
ASSOCIACAO DE RADIO COMUNIT.DE VARJAO DE MINAS-MINAS GERAIS,"AVENIDA JOVINO MARIANO GOMES, 998",Varjão de Minas,MG,( S ),18S224700/46W015700,200 / 87.90,ZYT411
ASSOCIAÇÃO COMUNITÁRIA PARA O DESENVOLVIMENTO DE VÁRZEA DA PALMA,RUA VINTE E DOIS,Várzea da Palma,MG,,17S374500/44W424600,285 / 104.90,ZYX576
ASSOCIACAO COMUNITARIA SEARA - ACS,RUA JARDIM AMÉRICA,Várzea da Palma,MG,( S ),17S361200/44W444600,285 / 104.90,ZYL604
ASSOCIACAO COMUNITARIA DE RADIODFUSAO CULTURAL E EDUCATIVA,"PRACA DOM ELIZEU, 45",Vazante,MG,( S ),17S585300/46W543200,200 / 87.90,ZYL556
ASSOCIACAO DA COMUNIDADE DE JANAIBA DE RADIODIFUSAO,,Verdelândia,MG,( N ),15S352800/43W363400,200 / 87.90,ZYX305
ASSOCIAÇÃO AMIGOS DA RÁDIO DE VEREDINHA,AVENIDA LIBERDADE,Veredinha,MG,,17S234400/42W441000,200 / 87.90,ZYX583
ASSOCIAÇÃO COMUNITÁRIA CULTURAL DE VERMELHO NOVO  (ACCVN),RUA SÃO JOSÉ,Vermelho Novo,MG,( S ),20S021600/42W155800,200 / 87.90,ZYX350
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO DE VESPASIANO - MG,RUA AG,Vespasiano,MG,( S ),19S405900/43W543900,200 / 87.90,ZYT599
ASSOCIAÇÃO CULTURAL QUINTAL DO SAMBA,RUA DOS PASSOS,Viçosa,MG,( S ),20S451400/42W525300,200 / 87.90,ZYL546
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE VIÇOSA,RUA SÃO VICENTE,Viçosa,MG,( S ),20S422900/42W515700,200 / 87.90,ZYX452
ACOMOR-ASSOCIACAO COMUNITARIA MORADA DE RADIODIFUSAO,"AVENIDA PRESIDENTE CASTELO BRANCO, 116",Virgem da Lapa,MG,( S ),16S481500/42W203600,200 / 87.90,ZYT483
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO NOVO HORIZONTE DE VIRGINÓPOLIS,RUA DA GLÓRIA,Virginópolis,MG,( S ),18S492400/42W421900,200 / 87.90,ZYX306
ASSOCIACAO SAO JOAO BATISTA,"PRACA 28 DE SETEMBRO, S/N",Visconde do Rio Branco,MG,( S ),21S005600/42W503700,285 / 104.90,ZYL634
ASSOCIAÇÃO COMUNITÁRIA ANTÔNIO AMORIM QUINTÃO,RUA ARTHUR PEDRAS,Volta Grande,MG,( S ),21S460900/42W320800,285 / 104.90,ZYT412
ASSOCIAÇÃO DE SENHORAS DE ROTARIANOS,RUA VALDEMAR FERREIRA LINO,Água Clara,MS,( S ),20S262800/52W523000,200 / 87.90,ZYL727
"ASSOCIACAO COMUNIT,ECOLOGICA,EDUCATIVA E CULT.DE ALCINOPOLIS","RUA W - 09 - JOAQUIM PEREIRA FRANCA, 1000",Alcinópolis,MS,( S ),18S194900/53W424400,200 / 87.90,ZYC953
ASSOCIAÇÃO COMUNITÁRIA NOSSA SENHORA AUXILIADORA,RUA SETE DE SETEMBRO,Amambaí,MS,( S ),23S060900/55W135800,290 / 105.90,ZYT606
ASSOCIAÇÃO COMUNITÁRIA DE RADIODIFUSÃO E CULTURA DE ANAURILÂNDIA - MS,RUA URUGUAIANA,Anaurilândia,MS,( S ),22S105300/52W421800,200 / 87.90,ZYL689
ASSOCIAÇÃO COMUNITÁRIA EDUCATIVA RÁDIO TROPICAL FM,AVENIDA RACHID NEDER; S/N,Angélica,MS,,22S094100/53W461700,285 / 104.90,ZYL693
ASSOCIACAO DE INTEGRACAO COMUNITARIA NOVOS TEMPOS,RUA JOANA A. MATOS - ESQUINA COM RUA PRESIDENTE VA,Antônio João,MS,( S ),22S112800/55W565100,285 / 104.90,ZYC961
ASSOCIAÇÃO COMUNITÁRIA CULTURAL DE APARECIDA DO TABOADO,RUA OLINDA MARIA DE MENEZES,Aparecida do Taboado,MS,,20S053000/51W062100,292 / 106.30,ZYT619
ASSOCIAÇÃO BENEFICENTE RENASCER AQUIDAUANENSE,RUA AUGUSTO MASCARENHAS,Aquidauana,MS,( S ),20S283900/55W473800,200 / 87.90,ZYC948
ARAL MOREIRA ASSOCIAÇÃO COMUNITÁRIA - AMAC,RUA GENERAL DUTRA,Aral Moreira,MS,( S ),22S565900/55W374300,285 / 104.90,ZYC969
ASSOCIAÇÃO COMUNITÁRIA DE RÁDIO FM BANDEIRANTES,RUA JOSÉ ROCHA XAVIER,Bandeirantes,MS,( S ),19S551100/54W214900,253 / 98.50,ZYC947
ASSOCIAÇÃO COMUNITÁRIA RÁDIO GAÚCHA FM DE BATAGUASSU - MS,RUA SANTA ROSA DE LIMA,Bataguassu,MS,( S ),21S432000/52W253400,285 / 104.90,ZYL691
ASSOCIACAO COMUNITARIA RADIO EDUCATIVA CIDADE FM,RUA GOIÁS,Batayporã,MS,( S ),22S174600/53W162300,285 / 104.90,ZYC960
ASSOCIAÇÃO COMUNITÁRIA INTEGRAÇÃO FM,RUA BARÃO DO LADÁRIO,Bela Vista,MS,,22S061300/56W315800,285 / 104.90,ZYL720
ASSOCIAÇÃO COMUNITÁRIA DE BODOQUENA - ACD - Denominada FM COMUNITÁRIA DE BODOQUENA,RUA JUAREZ ATANÁSIO DE SOUZA,Bodoquena,MS,( S ),20S325700/56W411300,285 / 104.90,ZYL721
ASSOCIACAO COMUNITARIA BONITENSE DE RADIODIFUSAO - ACB,"RUA XV DE NOVEMBRO, 500",Bonito,MS,( S ),21S071600/56W285900,200 / 87.90,ZYL696
INSTITUTO DE COMUNICAÇÃO POPULAR A VOZ DO RINCÃO,AVENIDA HERON DO COUTO,Bonito,MS,( S ),21S045300/56W283000,200 / 87.90,ZYT623
ASSOCIACAO DE INTEGRACAO COMUNITARIA CIDADE ESPERANCA,"RUA DORINTO RODRIGUES DO AMARAL, 1090",Brasilândia,MS,( S ),21S152500/52W022500,200 / 87.90,ZYC952
ASSOCIAÇÃO DE RADIODIFUSÃO COMUNITÁRIA DE CAARAPÓ - ARCOC,RUA ALFREDO BATISTA DO NASCIMENTO,Caarapó,MS,( S ),22S380300/54W490000,200 / 87.90,ZYT614
ASSOCIAÇÃO DAS ENTIDADES DA PRÓ RÁDIO CIDADE,RUA MARECHAL RONDON,Camapuã,MS,( S ),19S320800/54W023600,200 / 87.90,ZYL692
ASSOCIAÇÃO COMUNITÁRIA ATALAIA DA ÚLTIMA HORA,RUA  PONTA PORA,Campo Grande,MS,,20S264600/54W391900,292 / 106.30,ZYT607
ASSOCIAÇÃO COMUNITÁRIA DE RÁDIO FM ANHANDUÍ,RUA GUIMARÃES ROSA,Campo Grande,MS,( S ),20S590600/54W302500,292 / 106.30,ZYT612
ASSOCIAÇÃO COMUNITÁRIA NOVA MARACANÃ,AVENIDA  MANOEL DA COSTA LIMA,Campo Grande,MS,( S ),20S294600/54W385100,292 / 106.30,ZYL697
ASSOCIAÇÃO DA EMISSORA SEGREDO FM,RUA SÃO LUCAS,Campo Grande,MS,( S ),20S244100/54W375800,292 / 106.30,ZYT628
ASSOCIAÇÃO DE INTEGRAÇÃO E DIFUSÃO COMUNITÁRIA DAS MORENINHAS,RUA  BARUERI,Campo Grande,MS,( S ),20S332000/54W344200,292 / 106.30,ZYL698
ASSOCIAÇÃO LOUVORES AO REI INTEGRAÇÃO COMUNITÁRIA,AVENIDA GUAICURUS,Campo Grande,MS,( S ),20S313700/54W361300,292 / 106.30,ZYT604
ASSOCIACAO COMUNIT.DE DESENV.ARTISTICO E CULTURAL DE CARACOL,"RUA SAO JORGE, 901",Caracol,MS,( S ),21S583000/56W520000,200 / 87.90,ZYC963
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL SHALON,RUA THOMÉ FERNANDES DE ASSIS,Cassilândia,MS,( S ),19S072700/51W435500,290 / 105.90,ZYL722
ASSOCIAÇÃO CULTURAL CHAPADÃO DO SUL,RUA SEIS,Chapadão do Sul,MS,( S ),18S473900/52W373700,200 / 87.90,ZYC933
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DO RECANTO DOS PINTADOS - ASSOPINTA,RUA JOSÉ VIEIRA FLORES,Corguinho,MS,( S ),19S562000/54W534200,254 / 98.70,ZYT620
ASSOCIACAO DE AMIGOS E COLABORADORES CORGUINHENSE,"RUA DOUTOR RUBENS, NÌ 32",Corguinho,MS,( S ),19S495900/54W494300,254 / 98.70,ZYL682
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE CORUMBÁ - ACODAC,RUA JOSÉ BELMIRO H. DE BARROS,Corumbá,MS,( S ),19S030700/57W385200,200 / 87.90,ZYT608
ASSOCIAÇÃO PANTANEIRA DE COMUNICAÇÃO E CULTURA - APCC,RUA DOM AQUINO CORREA,Corumbá,MS,( S ),19S002100/57W400400,200 / 87.90,ZYL688
ASSOCIAÇÃO COMUNITÁRIA DE DESENV. ARTÍSTICO E CULTURAL DO PARAÍSO DAS ÁGUAS - ASCOPA,,Costa Rica,MS,( N ),,200 / 87.90,
"ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO, CULTURAL, INFORMATIVO E SOCIAL DE COSTA RICA - MS",RUA DIMAS GOMES FILHO,Costa Rica,MS,,18S323800/53W073700,200 / 87.90,ZYT622
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL PANTANEIRA,AVENIDA PEDRO PEDROSSIAN,Coxim,MS,( S ),18S300400/54W443900,200 / 87.90,ZYC945
ASSOCIACAO COMUNITARIA DE COMUNICACAO SOCIAL DEODAPOLIS,,Deodápolis,MS,( N ),,285 / 104.90,
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE DOIS IRMÃOS DO BURITI,,Dois Irmãos do Buriti,MS,( N ),,253 / 98.50,
ÁGUA BOA ASSOCIAÇÃO COMUNITÁRIA/ABAC,RUA PUREZA CARNEIRO ALVES,Dourados,MS,( S ),22S143700/54W483100,200 / 87.90,ZYL684
ASSOCIAÇÃO EDUCATIVA CULTURAL E BENEFICENTE GIDEÕES DO CANAÃ,RUA  PROJETADA 3,Dourados,MS,,22S143900/54W442000,200 / 87.90,ZYT626
ASSOCIACAO COMUNITARIA NOVO ALVORECER,RUA RIO GRANDE DO SUL,Eldorado,MS,( S ),23S470100/54W165200,200 / 87.90,ZYC942
ASSOCIACÃO COMUNITÁRIA FAVO DE MEL - ASCOMFAV,AVENIDA NOVE DE JULHO,Fátima do Sul,MS,( S ),22S223300/54W305200,200 / 87.90,ZYL690
GLÓRIA RADIODIFUSÃO CULTURAL E EDUCACIONAL - GRACE,PRAÇA PEDRO PEDROSSIAN,Glória de Dourados,MS,( S ),22S250200/54W135200,200 / 87.90,ZYL717
ASSOCIACAO COMUNITARIA CULT.E BENEFICENTE HEROIS DA RETIRADA,AVENIDA SANTA TEREZINHA,Guia Lopes da Laguna,MS,( S ),21S264900/56W060800,200 / 87.90,ZYC944
ASSOCIACAO COMUNITARIA ESPERANCA DE IGUATEMI - ACEI,RUA PEDRO LEDESMA - 1º ANDAR,Iguatemi,MS,( S ),23S404800/54W334400,285 / 104.90,ZYL681
ASSOCIAÇÃO COMUNITÁRIA INOCENCIENSE DE COMUNICAÇÃO E MARKETING,RUA DUCA VALADAO; 881,Inocência,MS,( S ),19S433700/51W555000,200 / 87.90,ZYC951
FUNDAÇÃO PEDRA BONITA,RUA JUSCELINO K. DE OLIVEIRA,Itaporã,MS,( S ),22S044500/54W472800,200 / 87.90,ZYL718
ASSOCIAÇÃO COMUNITÁRIA RÁDIO VALE AZUL FM DE ITAQUIRAÍ - MS,RUA BENVINDA HERNANDES,Itaquiraí,MS,( S ),23S285500/54W104800,200 / 87.90,ZYT609
ASSOCIAÇÃO COMUNITÁRIA CULTURAL ITAPOÃ - ACCI,RUA LEVINO JOAQUIM DOS SANTOS,Ivinhema,MS,( S ),22S180900/53W492600,285 / 104.90,ZYC949
"ASSOCIAÇÃO RADIOFÔNICA CULTURAL DE JAPORÃ, DENOMINADA ARJAP",AVENIDA DEPUTADO FERNANDO SALDANHA,Japorã,MS,( S ),23S532400/54W241600,200 / 87.90,ZYT616
"ASSOCIAÇÃO COMUNITÁRIA, CULTURAL E BENEFICENTE CAMISÃO",RUA BATAGUASSÚ,Jardim,MS,,21S282400/56W090500,200 / 87.90,ZYT617
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO CULTURAL E ARTÍSTICO DE JUTI - ACODECAJ,RUA PEDRO ALVARES CABRAL,Juti,MS,( S ),22S514200/54W362100,200 / 87.90,ZYT600
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE LADÁRIO - ACOLA,RUA RIACHUELO,Ladário,MS,( S ),19S004700/57W360700,200 / 87.90,ZYT621
ASSOCIAÇÃO COMUNITÁRIA E CULTURAL DE MARACAJÚ - ASCOMA,TRAVESSA ALAMEDA DOS IPÊS,Maracaju,MS,,21S372800/55W091000,200 / 87.90,ZYT627
ASSOCIACAO DE INTEGRACAO COMUNITARIA VIDA,,Miranda,MS,( N ),,200 / 87.90,
ASSOCIACAO COM.DE DESENV.ART.CULT.E SOCIAL MIRANDA-ACODAMI,"PRACA AGENOR CARRILHO, 246",Miranda,MS,( S ),20S142200/56W230800,200 / 87.90,ZYC941
ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO ARTÍSTICO E CULTURAL DE NAVIRAÍ - ACONAVI,AVENIDA CAMPO GRANDE,Naviraí,MS,( S ),23S031600/54W115900,200 / 87.90,ZYC938
ASSOCIAÇÃO COMUNITÁRIA CULTURAL E BENEFICENTE BACIA DO RIO PARAGUAI,AVENIDA GENERAL KLINGER,Nioaque,MS,( S ),21S094100/55W494800,200 / 87.90,ZYC962
ASSOCIACAO COMUNITARIA RADIO EDUCATIVA ALVORADA FM,"RUA MANOEL ANTUNES LOPES, 725",Nova Alvorada do Sul,MS,( S ),21S272400/54W225800,200 / 87.90,ZYC959
ASSOCIACAO COMUNITARIA SAO VICENTE DE PAULA,,Nova Andradina,MS,( N ),,285 / 104.90,
ASSOCIAÇÃO DE DESENVOLVIMENTO E INTEGRAÇÃO COMUNITÁRIA NOVA CASA VERDE,RUA CEARÁ - QUADRA 33 - LOTE 20,Nova Andradina,MS,( S ),21S453200/53W160500,285 / 104.90,ZYT615
"ASSOCIAÇÃO COMUNITÁRIA DE DESENVOLVIMENTO, ARTÍSTICO E CULTURAL DE NOVO HORIZONTE DO SUL - MS - ACONHOS",AVENIDA MARCOS FREIRE,Novo Horizonte do Sul,MS,( S ),22S392800/53W511600,200 / 87.90,ZYT610
"ASSOC. DE DESENV. ARTÍSTICO, INTELECTUAL E SOCIAL DE PARANAIBA",RUA DR. ROCHA DIAS,Paranaíba,MS,,19S403300/51W111900,200 / 87.90,ZYL723
